,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
126,Merauke,-8.47,140.33,79.16,71,90,13.65,ID,1596169140
127,Berlevåg,70.86,29.09,50.0,93,90,6.93,NO,1596168859
128,Ambilobe,-13.2,49.05,71.15,73,84,3.62,MG,1596169141
129,Beringovskiy,63.05,179.32,50.36,83,94,11.61,RU,1596169141
130,Husavik,66.04,-17.34,44.6,100,90,3.47,IS,1596169141
131,Shiyan,32.65,110.78,81.95,78,95,1.16,CN,1596169141
132,Pacific Grove,36.62,-121.92,61.0,92,9,4.79,US,1596169142
133,Barra de Tecoanapa,16.52,-98.75,81.64,75,85,3.51,MX,1596169142
134,Leningradskiy,69.38,178.42,40.84,84,100,13.98,RU,1596169142
135,Winchester,51.07,-1.32,63.0,72,0,5.82,GB,1596169142
136,Aykhal,66.0,111.5,68.0,37,0,6.71,RU,1596169143
137,Acarí,-15.43,-74.62,61.77,60,56,2.93,PE,1596169143
138,Carnarvon,-24.87,113.63,71.6,49,0,18.34,AU,1596169143
139,Torbay,47.67,-52.73,60.01,100,90,2.37,CA,1596169144
140,Bilma,18.69,12.92,86.86,34,49,3.29,NE,1596169144
141,Sal Rei,16.18,-22.92,78.8,78,75,8.05,CV,1596169144
142,Carbondale,37.73,-89.22,75.2,94,75,3.36,US,1596169145
143,Edelira,-26.75,-55.27,56.34,89,96,1.54,PY,1596169145
144,Butaritari,3.07,172.79,83.12,73,50,7.29,KI,1596169145
145,Guerrero Negro,27.98,-114.06,69.98,83,0,8.77,MX,1596169112
146,Airai,-8.93,125.41,72.79,42,78,5.1,TL,1596169146
147,Boshnyakovo,49.63,142.17,63.86,95,100,4.38,RU,1596169146
148,Liverpool,53.41,-2.98,64.4,63,18,9.17,GB,1596169011
149,Mar del Plata,-38.0,-57.56,46.0,93,54,11.41,AR,1596168872
150,Morondava,-20.28,44.28,64.45,73,0,9.66,MG,1596169146
151,Margate,51.38,1.39,66.99,76,0,1.99,GB,1596169147
152,Fortuna,40.6,-124.16,57.99,89,1,3.44,US,1596169147
153,Hasaki,35.73,140.83,82.0,88,75,5.82,JP,1596169147
154,Pozoblanco,38.38,-4.85,77.0,78,0,4.7,ES,1596169148
155,Basoko,1.24,23.62,71.94,86,0,2.95,CD,1596169148
156,Geraldton,-28.77,114.6,68.0,52,40,13.87,AU,1596169148
157,Lensk,60.73,114.93,73.33,51,62,9.75,RU,1596169148
158,Nizhniy Kuranakh,58.84,125.49,60.42,81,100,9.08,RU,1596169149
159,Cabatuan,10.88,122.49,85.05,75,98,10.38,PH,1596169149
160,Palmer,42.16,-72.33,71.6,83,90,1.32,US,1596168927
161,Amahai,-3.33,128.92,79.41,83,100,15.03,ID,1596169149
162,Vanimo,-2.67,141.3,87.51,60,85,6.2,PG,1596169149
163,Alofi,-19.06,-169.92,73.4,64,5,14.99,NU,1596169150
164,Sakaiminato,35.55,133.23,86.0,70,75,12.75,JP,1596169150
165,Ino,33.55,133.43,86.0,74,40,8.05,JP,1596169150
166,Mossamedes,-15.2,12.15,62.64,84,0,3.42,AO,1596169150
167,Rodrigues Alves,-7.74,-72.65,71.8,74,13,2.3,BR,1596169150
168,Médéa,36.26,2.75,73.4,94,20,3.36,DZ,1596169151
169,Paita,-5.09,-81.11,62.04,81,19,8.59,PE,1596169151
170,Kiryat Gat,31.61,34.76,75.99,87,0,5.3,IL,1596169151
171,Chui,-33.7,-53.46,46.27,89,0,8.93,UY,1596169151
172,Kutum,14.2,24.67,71.71,74,90,12.53,SD,1596169152
173,Naze,28.37,129.48,89.6,75,20,9.17,JP,1596169152
174,East London,-33.02,27.91,51.8,87,0,9.17,ZA,1596169152
175,Coquimbo,-29.95,-71.34,50.0,93,0,2.24,CL,1596169152
176,Marana,32.44,-111.23,104.0,18,1,4.7,US,1596168897
177,Sandpoint,48.28,-116.55,77.0,60,1,3.91,US,1596169129
178,Hilo,19.73,-155.09,82.4,54,1,6.93,US,1596169136
179,Halifax,44.65,-63.57,66.99,90,31,1.01,CA,1596169058
180,Khatanga,71.97,102.5,71.51,36,44,13.02,RU,1596169154
181,Ust'-Koksa,50.27,85.61,61.88,55,7,0.72,RU,1596169155
182,Faanui,-16.48,-151.75,79.38,79,13,8.55,PF,1596169155
183,Constitución,-35.33,-72.42,49.69,81,50,3.58,CL,1596169155
184,Anadyr,64.75,177.48,60.8,55,40,11.18,RU,1596169155
185,Auburn,47.31,-122.23,80.01,41,20,5.82,US,1596169155
186,Ancud,-41.87,-73.82,48.0,100,90,10.29,CL,1596169156
187,Port Jervis,41.38,-74.69,69.01,17,100,2.84,US,1596169156
188,Bereket,39.24,55.52,77.32,41,0,3.69,TM,1596169156
189,Mount Gambier,-37.83,140.77,57.2,67,99,14.99,AU,1596169156
190,Laas,46.62,10.7,60.01,93,5,4.7,IT,1596169156
191,São João da Barra,-21.64,-41.05,67.84,84,100,14.61,BR,1596169157
192,Mogzon,51.74,111.96,63.91,90,100,5.95,RU,1596169157
193,Mulegé,26.88,-111.98,87.58,60,0,4.41,MX,1596169157
194,Bantry,51.68,-9.45,60.8,93,75,11.41,IE,1596169157
195,Barrow,71.29,-156.79,41.0,80,1,12.75,US,1596169158
196,Srednekolymsk,67.45,153.68,63.5,43,83,11.34,RU,1596169158
197,Lao Cai,22.48,103.95,90.16,61,99,1.54,VN,1596169143
198,Koumac,-20.57,164.28,73.36,88,59,12.82,NC,1596169158
199,Carndonagh,55.25,-7.27,58.64,74,97,12.12,IE,1596169159
200,Port Hardy,50.7,-127.42,68.0,60,20,8.05,CA,1596169159
201,Pelym,61.01,62.0,52.27,95,100,8.37,RU,1596169159
202,Majene,-3.54,118.97,82.76,71,76,12.28,ID,1596169160
203,Chokurdakh,70.63,147.92,49.01,72,100,10.45,RU,1596169160
204,Longyan,25.11,117.02,90.79,56,76,3.09,CN,1596169160
205,Røros,62.57,11.38,53.6,87,22,12.75,NO,1596169161
206,Dothan,31.22,-85.39,80.6,78,1,8.05,US,1596169155
207,Ostrovskoye,57.81,42.24,56.66,84,67,7.27,RU,1596169163
208,Makakilo City,21.35,-158.09,82.4,65,75,8.05,US,1596169163
209,Yuli,9.7,10.27,71.29,89,100,5.23,NG,1596169164
210,Kinsale,51.71,-8.53,60.8,93,75,11.41,IE,1596169164
211,Saint Paul Harbor,57.79,-152.41,57.2,82,90,12.75,US,1596169165
212,Coyhaique,-45.58,-72.07,30.2,92,95,2.24,CL,1596168970
213,Norman Wells,65.28,-126.83,75.2,57,5,6.93,CA,1596169165
214,Clyde River,70.47,-68.59,37.4,100,90,13.87,CA,1596169165
215,Yining,29.04,114.56,94.37,51,14,2.95,CN,1596169165
216,Saint-Leu,-21.15,55.28,70.0,68,43,5.82,RE,1596169166
217,Lingao,19.91,109.69,88.23,70,100,20.24,CN,1596169166
218,Sitka,57.05,-135.33,64.4,63,40,3.36,US,1596169166
219,Riyadh,24.69,46.72,93.2,30,24,1.12,SA,1596169166
220,Olinda,-8.01,-34.86,71.6,88,75,5.82,BR,1596169166
221,Le Mars,42.79,-96.17,66.0,88,1,5.35,US,1596169016
222,Liwale,-9.77,37.93,62.2,91,6,5.64,TZ,1596169167
223,Haslett,42.75,-84.4,68.0,68,1,4.7,US,1596169168
224,Thanatpin,17.21,96.3,84.2,74,75,6.93,MM,1596169168
225,Lānja,16.85,73.55,82.08,77,100,2.75,IN,1596169170
226,Billings Metropolitan Area,45.78,-108.5,82.0,28,40,9.17,US,1596169171
227,Hervey Bay,-25.3,152.85,69.01,68,47,11.01,AU,1596169171
228,Ayan,56.45,138.17,56.66,86,98,4.25,RU,1596169171
229,Ambon City,-3.7,128.18,79.0,94,75,9.17,ID,1596169171
230,Wanaka,-44.7,169.15,49.8,79,89,3.02,NZ,1596168969
231,Kaitangata,-46.28,169.85,52.0,69,82,1.99,NZ,1596169172
232,Pangody,65.85,74.49,63.43,54,100,8.08,RU,1596169172
233,Ormond Beach,29.29,-81.06,77.0,100,40,3.36,US,1596169172
234,Prince George,53.92,-122.75,77.0,61,1,3.36,CA,1596168936
235,Amuntai,-2.42,115.25,93.34,47,64,2.13,ID,1596169172
236,Riisipere,59.11,24.31,51.01,99,4,1.9,EE,1596169173
237,Pierre,44.37,-100.35,73.0,73,1,6.78,US,1596169173
238,Portland,45.52,-122.68,88.0,36,0,1.25,US,1596168380
239,Grand-Santi,4.25,-54.38,72.41,95,1,1.74,GF,1596169173
240,Bay Roberts,47.6,-53.26,60.01,100,100,1.9,CA,1596169174
241,Samarai,-10.62,150.67,76.21,69,46,16.55,PG,1596169174
242,Bariloche,-41.15,-71.31,37.4,86,40,11.41,AR,1596168923
243,Varhaug,58.61,5.65,54.0,99,88,8.95,NO,1596169174
