city_id,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
251,Emerald,-23.53,148.17,75.2,31,0,11.41,AU,1596259820
252,Kaputa,-8.47,29.66,68.43,55,8,10.04,ZM,1596259821
253,Sumbe,-11.21,13.84,70.12,82,67,2.62,AO,1596259821
254,Beyneu,45.32,55.2,91.62,16,36,11.36,KZ,1596259823
255,Mujiayingzi,42.12,118.78,92.61,33,20,12.01,CN,1596259824
256,Tonota,-21.48,27.48,32.0,72,0,1.12,BW,1596259824
257,Río Gallegos,-51.62,-69.22,37.4,86,75,8.05,AR,1596259700
258,Filingué,14.35,3.32,78.71,69,32,17.31,NE,1596259826
259,Marshalltown,42.05,-92.91,66.99,93,1,1.1,US,1596259826
260,Khani,41.96,42.96,77.0,69,40,2.24,GE,1596259514
261,São Paulo de Olivença,-3.38,-68.87,71.35,79,82,0.34,BR,1596259827
262,Prienai,54.63,23.95,55.4,93,90,2.24,LT,1596259827
263,Mahabalipuram,12.63,80.17,87.8,66,75,4.7,IN,1596259827
264,Salalah,17.02,54.09,82.4,88,90,6.93,OM,1596259828
265,Portland,45.52,-122.68,73.0,64,75,5.82,US,1596259680
266,Noumea,-22.28,166.46,69.8,68,90,11.41,NC,1596259829
267,Quatre Cocos,-20.21,57.76,75.99,73,75,10.29,MU,1596259475
268,Vetlanda,57.43,15.08,57.0,100,0,1.05,SE,1596259830
269,Alexandroupoli,40.85,25.87,77.0,61,0,8.46,GR,1596259830
270,Saint Paul Harbor,57.79,-152.41,55.4,93,75,3.36,US,1596259418
271,Tegul'det,57.31,88.17,74.07,41,100,3.74,RU,1596259830
272,Grand Bank,47.1,-55.77,62.78,96,85,6.6,CA,1596259831
273,Isangel,-19.55,169.27,72.54,90,96,13.87,VU,1596259475
274,Marabu,4.41,114.01,87.8,74,20,5.82,MY,1596259666
275,Fuerte Olimpo,-21.04,-57.87,68.97,56,22,3.76,PY,1596259444
276,Krasnaya Poyma,55.0,39.08,62.69,72,76,1.48,RU,1596259832
277,Pirapemas,-3.73,-44.22,68.13,89,24,2.28,BR,1596259833
278,Port Hardy,50.7,-127.42,68.0,60,75,11.41,CA,1596259527
279,Quesnel,53.0,-122.5,68.0,88,75,3.36,CA,1596259833
280,Tucuruí,-3.77,-49.67,72.18,61,0,3.18,BR,1596259834
281,Silver City,32.77,-108.28,73.99,60,75,5.82,US,1596259834
282,Ust-Kuyga,70.02,135.6,65.64,43,89,8.16,RU,1596259834
283,Los Llanos de Aridane,28.66,-17.92,71.6,78,90,11.41,ES,1596259834
284,Levokumskoye,44.82,44.66,86.83,32,0,7.52,RU,1596259835
285,Dabola,10.75,-11.12,70.32,94,98,2.39,GN,1596259836
286,Labuhan,-6.88,112.21,86.79,53,42,4.7,ID,1596259405
287,Puerto Escondido,15.85,-97.07,79.95,80,47,4.45,MX,1596259836
288,Havre-St-Pierre,50.23,-63.6,59.0,93,90,5.82,CA,1596259513
289,Narsaq,60.92,-46.05,42.8,81,9,3.36,GL,1596259490
290,Cherskiy,68.75,161.3,53.69,60,95,9.24,RU,1596259467
291,Vardø,70.37,31.11,50.29,90,100,13.96,NO,1596259431
292,Ilulissat,69.22,-51.1,42.8,93,100,1.12,GL,1596259456
293,Rāwah,34.48,41.91,86.29,36,0,16.71,IQ,1596259517
294,Hithadhoo,-0.6,73.08,83.39,71,3,7.56,MV,1596259446
295,Evinayong,1.44,10.55,67.26,96,82,1.52,GQ,1596259840
296,Moose Factory,51.26,-80.61,62.6,82,1,5.82,CA,1596259498
297,Ponta do Sol,32.67,-17.1,66.0,72,0,3.44,PT,1596259477
298,Abu Kamal,34.45,40.92,92.48,27,0,13.62,SY,1596259841
299,Iquique,-20.22,-70.14,59.0,72,90,4.7,CL,1596259841
300,Vangaindrano,-23.35,47.6,65.55,85,53,3.22,MG,1596259841
301,Cabedelo,-6.98,-34.83,71.6,100,20,4.7,BR,1596259841
302,Mihai Bravu,44.14,26.06,73.99,73,62,4.7,RO,1596259842
303,Innisfail,-17.53,146.03,66.0,73,62,5.99,AU,1596259842
304,Bethel,41.37,-73.41,68.0,93,1,4.7,US,1596259434
305,Mgandu,-5.95,34.13,64.2,62,0,12.68,TZ,1596259843
306,Forsytheganj,52.63,29.73,57.02,91,39,8.25,BY,1596259499
307,Port-Cartier,50.03,-66.87,60.01,100,75,3.36,CA,1596259843
308,Abrau-Dyurso,44.69,37.59,73.4,88,40,2.24,RU,1596259843
309,Isaccea,45.27,28.47,72.0,68,5,10.29,RO,1596259844
310,Tautira,-17.73,-149.15,78.8,74,20,3.36,PF,1596259431
311,Mossamedes,-15.2,12.15,64.78,78,0,2.51,AO,1596259429
312,Yaan,7.38,8.57,69.89,95,70,4.92,NG,1596259500
313,Norman Wells,65.28,-126.83,75.2,53,20,5.82,CA,1596259845
314,Abapó,-18.83,-63.47,57.47,78,75,3.47,BO,1596259845
315,San Patricio,19.22,-104.7,80.35,78,100,3.69,MX,1596259402
316,Ōdachō-ōda,35.18,132.5,86.0,70,75,18.34,JP,1596259846
317,Manyana,-23.4,21.72,46.04,56,0,7.54,BW,1596259846
318,Manta,-0.95,-80.73,71.6,88,75,6.93,EC,1596259852
319,Dalnerechensk,45.93,133.72,82.9,78,92,12.03,RU,1596259852
320,Kloulklubed,7.04,134.26,80.6,88,90,8.05,PW,1596259504
321,Nur-Sultan,51.18,71.45,80.6,44,0,4.47,KZ,1596259595
322,Cidreira,-30.18,-50.21,57.33,85,42,5.19,BR,1596259471
323,Katherine,-14.47,132.27,86.0,19,8,12.75,AU,1596259524
324,Casper,42.87,-106.31,66.99,47,1,5.82,US,1596259854
325,Simpang,-1.27,104.08,90.68,52,99,5.12,ID,1596259854
326,Great Yarmouth,52.61,1.73,66.99,98,86,1.01,GB,1596259854
327,Chambéry,45.57,5.93,70.0,72,11,3.36,FR,1596259854
328,Saint-Pierre,-21.34,55.48,72.0,88,75,16.11,RE,1596259479
329,Alta Floresta,-9.88,-56.09,68.0,42,0,4.47,BR,1596259432
330,Rocha,-34.48,-54.33,44.4,93,0,1.68,UY,1596259855
331,Jaisalmer,26.91,70.92,96.62,43,6,11.12,IN,1596259855
332,Bengkulu,-3.8,102.27,83.8,60,100,9.01,ID,1596259424
333,Mo i Rana,66.31,14.14,55.99,92,94,2.3,NO,1596259749
334,Pevek,69.7,170.31,36.86,90,96,3.69,RU,1596259418
335,Cabadiangan,9.75,122.47,84.04,69,100,4.94,PH,1596259530
336,Zonguldak,41.25,31.83,69.8,83,20,5.82,TR,1596259654
337,Natá,8.33,-80.52,76.78,85,93,3.04,PA,1596259857
338,Carutapera,-1.2,-46.02,74.75,93,48,4.92,BR,1596259858
339,Longkou,37.65,120.33,81.77,76,11,6.06,CN,1596259858
340,Paamiut,61.99,-49.67,44.89,92,100,5.68,GL,1596259508
341,Altamira,-3.2,-52.21,72.43,67,0,1.48,BR,1596259645
342,Charters Towers,-20.1,146.27,71.22,49,83,13.04,AU,1596259859
343,Yumen,40.28,97.2,83.93,14,0,9.57,CN,1596259859
344,Moratuwa,6.77,79.88,86.0,74,40,12.75,LK,1596259860
345,Olafsvik,64.89,-23.71,50.45,87,93,13.69,IS,1596259519
346,Yangi Marg`ilon,40.43,71.72,80.6,44,0,11.41,UZ,1596259860
347,Pilar,-9.6,-35.96,73.4,88,75,9.17,BR,1596259860
348,Iqaluit,63.75,-68.51,53.6,100,90,4.7,CA,1596259406
349,Fray Bentos,-33.13,-58.3,48.0,91,14,3.0,UY,1596259861
350,Bonthe,7.53,-12.51,75.18,93,99,1.52,SL,1596259861
351,Te Anau,-45.42,167.72,48.88,90,97,2.24,NZ,1596259861
352,Bubaque,11.28,-15.83,80.02,82,98,12.35,GW,1596259862
353,Gilgit,35.92,74.31,86.95,24,86,5.08,PK,1596259862
354,Vanavara,60.34,102.28,76.66,41,86,10.16,RU,1596259862
355,Skegness,53.14,0.34,64.0,87,68,9.17,GB,1596259862
356,Wilmington,34.23,-77.94,84.0,83,1,8.05,US,1596259190
357,Uray,60.12,64.78,72.28,53,72,10.22,RU,1596259863
358,Itoman,26.12,127.67,91.4,59,40,13.87,JP,1596259863
359,Tuscaloosa,33.21,-87.57,75.99,78,0,6.82,US,1596259825
360,Boa Vista,2.82,-60.67,77.0,88,75,3.36,BR,1596259405
361,Tazmalt,36.39,4.4,69.8,64,0,5.82,DZ,1596259864
362,Tingi,-11.3,35.03,59.29,64,4,2.08,TZ,1596259864
363,Qaqortoq,60.72,-46.03,42.8,81,22,3.36,GL,1596259455
364,Bandarbeyla,9.49,50.81,83.98,57,55,30.47,SO,1596259491
365,Constantine,36.37,6.61,66.2,45,0,3.4,DZ,1596259865
366,Minbu,20.18,94.88,94.48,52,65,4.36,MM,1596259865
367,Turaif,31.67,38.66,82.4,42,0,6.93,SA,1596259865
368,Cascais,38.7,-9.42,68.0,97,5,9.42,PT,1596259865
369,Fria,10.42,-13.58,70.9,99,85,1.86,GN,1596259866
370,Castricum,52.55,4.67,68.0,86,90,5.99,NL,1596259663
371,Kuchinda,21.73,84.35,86.0,79,75,4.7,IN,1596259866
372,Vostok,46.49,135.88,76.28,82,97,4.94,RU,1596259458
